"Date;Time;4G Total Traffic (GB)"
"02/02/2024;00:00;26.793"
"02/02/2024;00:00;29.838"
"02/02/2024;00:00;11.621"
"02/02/2024;00:00;37.225"
"02/02/2024;00:00;48.906"
"02/02/2024;00:00;11.379"
"02/02/2024;00:00;47.054"
"02/02/2024;00:00;52.502"
"02/02/2024;00:00;12.495"
"02/02/2024;00:00;0.2949"
"02/02/2024;00:00;0.4034"
"02/02/2024;00:00;18.417"
"02/02/2024;00:00;64.982"
"02/02/2024;00:00;84.699"
"02/02/2024;00:00;2.564"
"02/02/2024;00:00;25.886"
"02/02/2024;00:00;48.498"
"02/02/2024;00:00;25.126"
"02/02/2024;00:00;59.299"
"02/02/2024;01:00;14.362"
"02/02/2024;01:00;24.893"
"02/02/2024;01:00;0.5103"
"02/02/2024;01:00;22.602"
"02/02/2024;01:00;31.252"
"02/02/2024;01:00;10.417"
"02/02/2024;01:00;27.904"
"02/02/2024;01:00;39.044"
"02/02/2024;01:00;0.8853"
"02/02/2024;01:00;12.712"
"02/02/2024;01:00;0.9342"
"02/02/2024;01:00;0.9158"
"02/02/2024;01:00;47.716"
"02/02/2024;01:00;71.515"
"02/02/2024;01:00;19.323"
"02/02/2024;01:00;17.306"
"02/02/2024;01:00;5.4"
"02/02/2024;01:00;15.578"
"02/02/2024;01:00;49.187"
"02/02/2024;02:00;17.055"
"02/02/2024;02:00;18.511"
"02/02/2024;02:00;0.1724"
"02/02/2024;02:00;13.555"
"02/02/2024;02:00;18.665"
"02/02/2024;02:00;0.1962"
"02/02/2024;02:00;19.851"
"02/02/2024;02:00;42.781"
"02/02/2024;02:00;0.4813"
"02/02/2024;02:00;15.745"
"02/02/2024;02:00;0.1246"
"02/02/2024;02:00;0.5302"
"02/02/2024;02:00;35.213"
"02/02/2024;02:00;4.044"
"02/02/2024;02:00;1.568"
"02/02/2024;02:00;12.351"
"02/02/2024;02:00;4.041"
"02/02/2024;02:00;0.7082"
"02/02/2024;02:00;30.709"
"02/02/2024;03:00;0.7886"
"02/02/2024;03:00;0.6727"
"02/02/2024;03:00;0.0724"
"02/02/2024;03:00;0.8495"
"02/02/2024;03:00;10.878"
"02/02/2024;03:00;0.0615"
"02/02/2024;03:00;17.993"
"02/02/2024;03:00;19.651"
"02/02/2024;03:00;0.4152"
"02/02/2024;03:00;12.445"
"02/02/2024;03:00;0.1671"
"02/02/2024;03:00;11.874"
"02/02/2024;03:00;2.834"
"02/02/2024;03:00;42.006"
"02/02/2024;03:00;0.9531"
"02/02/2024;03:00;11.352"
"02/02/2024;03:00;20.323"
"02/02/2024;03:00;0.6075"
"02/02/2024;03:00;26.642"
"02/02/2024;04:00;0"
"02/02/2024;04:00;0"
"02/02/2024;04:00;0.0778"
"02/02/2024;04:00;0.82"
"02/02/2024;04:00;0.6756"
"02/02/2024;04:00;0.3924"
"02/02/2024;04:00;20.759"
"02/02/2024;04:00;21.938"
"02/02/2024;04:00;0.3461"
"02/02/2024;04:00;0.1877"
"02/02/2024;04:00;0.1688"
"02/02/2024;04:00;0.48"
"02/02/2024;04:00;34.324"
"02/02/2024;04:00;3.354"
"02/02/2024;04:00;0.5773"
"02/02/2024;04:00;0.3748"
"02/02/2024;04:00;20.278"
"02/02/2024;04:00;0.2942"
"02/02/2024;04:00;21.281"
"02/02/2024;05:00;12.863"
"02/02/2024;05:00;1.029"
"02/02/2024;05:00;0.0451"
"02/02/2024;05:00;17.139"
"02/02/2024;05:00;12.667"
"02/02/2024;05:00;0.8207"
